SortOrder,State/Prov,Town,Site,year,State_Town_Yr,State_Town_Trap,Trap_Number,N_traps,Date_1May,Start_Day,Month,Region,Phenology,Latitude,Long,altitude,Days_of_ sampling,all_3_Pheno_periods,Log10_Tot_Biomass_Day,Log10_Nematocera_Day,Log10_Other Diptera_Day,Log10_Coleoptera_Day,Log10_Lepidoptera_Day,Log10_Hymenoptera_Day,Log10_Hemiptera_Day,Log10_Other_Unidentified_Day,Log10_Homoptera_Day,Mean_Temp,Max_Temp,MIN_Temp,Mean_WIND,Tot_Precip,Mean_Precip,Source_for_Weather,stn_id,stn_name,stn_latitude,stn_longitude,Total_Diptera,Nematocera (g),Other Diptera (g),Coleoptera (g),Lepidoptera (g),Araneae (g),Hymenoptera (g),Hemiptera (g),Homoptera,Orthoptera (g),total of Others (not Identified) (g),Neuroptera (g),Trichoptera,Odonata (g),Blattodea (Termites) (g),Thysanoptera,Psocoptera,Dermaptera (g),Plecoptera (g),Mecoptera (g),Isoptera (g),Ephemeroptera (g),Collembola (g),raphidioptera,Acari (mites),Megalaptura: Sialidae,Others -Not insects (FP),UnIdentified larvae,Notes,Lead_Contributors,Affliation
217,MI,Adrian,MI_Wassmer_SienaHtsU,2020,MI_Adrian_2020,MI_Adrian_R/2,2,3,49,18,June,2_Central,4. Nestl. Day 12,41.84,-84.027,233,3,all 3 periods,0.436,-2.273,-0.632,-0.138,-0.317,-0.658,-2.155,,-1.027,23.3,31.5,15,1.9,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.71,0.013,0.697,2.182,1.444,0.016,0.657,0.018,0.279,2.585,,,,,,,,,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
218,MI,Adrian,MI_Wassmer_SienaHtsU,2020,MI_Adrian_2020,MI_Adrian_U/1,3,3,20,20,May,2_Central,2. Ave lay date,41.902,-84.03,237,3,all 3 periods,-0.643,-2.155,-1.638,,-1.064,-2.477,,,-2.523,14.7,18.2,11.1,2.9,0.8,0.27,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.084,0.018,0.066,,0.256,0.03,0.007,,0.006,,,,,,,,,,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
219,MI,Adrian,MI_Wassmer_SienaHtsU,2020,MI_Adrian_2020,MI_Adrian_U/1,3,3,38,7,June,2_Central,3. Ave hatch date,41.902,-84.03,237,3,all 3 periods,-0.191,-2.079,-1.42,-0.681,-1.452,-0.597,,,-2.222,20.6,29.1,12.2,2.8,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.133,0.022,0.111,0.622,0.103,,0.755,,0.015,,,,,,,,,0.007,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
220,MI,Adrian,MI_Wassmer_SienaHtsU,2020,MI_Adrian_2020,MI_Adrian_U/1,3,3,49,18,June,2_Central,4. Nestl. Day 12,41.902,-84.03,237,3,all 3 periods,-0.293,-2.097,-1.108,-1.486,-1.015,-0.754,,,-2.331,23.3,31.5,15,1.9,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.252,0.021,0.231,0.095,0.287,0.05,0.525,,0.011,,,,,,,,,0.008,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
221,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/1,1,3,19,19,May,2_Central,2. Ave lay date,41.842,-84.026,237,3,all 3 periods,0.081,-2.398,-0.095,-1.77,-1.477,-0.652,-1.972,,-1.664,21.8,30.2,13.3,2.2,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,2.415,0.009,2.406,0.048,0.097,,0.666,0.029,0.062,,,,,,,,,,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
222,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/1,1,3,38,7,June,2_Central,3. Ave hatch date,41.842,-84.026,237,3,all 3 periods,0.21,-1.553,-0.591,-0.302,-0.474,-0.774,-1.538,,-0.747,24.3,28.7,19.8,2.1,1.8,0.6,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.847,0.081,0.766,1.494,1.004,0.09,0.502,0.084,0.534,,,,,,,,,0.012,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
223,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/1,1,3,50,19,June,2_Central,4. Nestl. Day 12,41.842,-84.026,237,3,all 3 periods,0.155,-1.077,-0.773,-0.75,-0.444,-0.57,-1.276,,-1.247,21.8,27.2,16.3,2.8,65.3,21.77,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.751,0.248,0.503,0.531,1.076,0.074,0.805,0.156,0.167,0.343,,0.009,,0.062,,,,0.011,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
224,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/2,2,3,19,19,May,2_Central,2. Ave lay date,41.84,-84.027,237,3,all 3 periods,0.356,-1.237,0.151,-0.834,-0.957,-0.456,-2.875,,-2.574,21.8,30.2,13.3,2.2,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,4.419,0.171,4.248,0.437,0.328,0.022,1.047,0.001,0.005,0.224,,,,,,,,0.027,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
225,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/2,2,3,38,7,June,2_Central,3. Ave hatch date,41.84,-84.027,237,3,all 3 periods,0.493,-1.028,-0.435,-0.143,-0.558,-0.36,-1.591,,-1.121,24.3,28.7,19.8,2.1,1.8,0.6,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,1.376,0.278,1.098,2.154,0.828,0.019,1.307,0.074,0.224,2.971,,0.014,,,,,,0.058,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
226,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_R/2,2,3,50,19,June,2_Central,4. Nestl. Day 12,41.84,-84.027,237,3,all 3 periods,0.381,-0.997,-0.783,-0.363,-0.586,-0.421,-1.678,,-1.088,21.8,27.2,16.3,2.8,65.3,21.77,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.791,0.299,0.492,1.299,0.776,0.464,1.134,0.06,0.242,2.127,,0.006,,,,,,,0.006,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
227,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_U/1,3,3,19,19,May,2_Central,2. Ave lay date,41.902,-84.03,237,3,all 3 periods,-0.054,-1.473,-0.869,-1.004,-2.398,-0.327,-2.436,,-1.886,21.8,30.2,13.3,2.2,0,0,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.501,0.098,0.403,0.294,0.009,0.084,1.411,0.008,0.036,,,0.006,,,,,,,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
228,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_U/1,3,3,38,7,June,2_Central,3. Ave hatch date,41.902,-84.03,237,3,all 3 periods,-0.215,-1.402,-0.949,-1.304,-1.387,-0.762,-2.176,,-2.363,24.3,28.7,19.8,2.1,1.8,0.6,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.45,0.116,0.334,0.146,0.12,0.021,0.516,0.017,0.01,,,0.009,,,,,,0.24,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
229,MI,Adrian,MI_Wassmer_SienaHtsU,2021,MI_Adrian_2021,MI_Adrian_U/1,3,3,50,19,June,2_Central,4. Nestl. Day 12,41.902,-84.03,237,3,all 3 periods,-0.103,-1.157,-0.629,-1.528,-1.456,-0.688,-1.334,,-2.115,21.8,27.2,16.3,2.8,65.3,21.77,stn,USW00004847,ADRIAN LENAWEE CO AP,41.8678,-84.0794,0.908,0.206,0.702,0.086,0.102,0.049,0.612,0.136,0.02,,,0.007,,,,,,0.144,,,,,,,,,,,,Tom Wassmer,"Dept. of Biology, Siena Heights Univ."
230,MO,West Alton,MO_Ahmed_USACE,2020,MO_West Alton_2020,MO_West Alton_1,1,1,13,13,May,2_Central,2. Ave lay date,38.859,-90.164,128,3,all 3 periods,0.47,-0.513,0.228,-0.123,-1.001,-2.398,-2.301,,,17.5,22.8,13.9,4.4,18.8,6.27,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,5.98,0.917,5.063,2.258,0.296,,0.009,0.012,,,,,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
231,MO,West Alton,MO_Ahmed_USACE,2020,MO_West Alton_2020,MO_West Alton_1,1,1,32,1,June,2_Central,3. Ave hatch date,38.859,-90.164,128,3,all 3 periods,0.603,-0.63,0.432,-0.578,-0.445,-0.502,,,,25.5,31.7,20,4.3,2,0.67,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,8.803,0.701,8.102,0.79,1.073,,0.941,,,0.114,,,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
232,MO,West Alton,MO_Ahmed_USACE,2020,MO_West Alton_2020,MO_West Alton_1,1,1,44,13,June,2_Central,4. Nestl. Day 12,38.859,-90.164,128,3,all 3 periods,0.481,-0.849,-0.111,-0.755,0.243,-1.265,-1.714,,,24.8,29.6,18.5,3.5,0,0,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,2.745,0.422,2.323,0.524,5.249,0.007,0.16,0.055,,0.046,,,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
233,MO,West Alton,MO_Ahmed_USACE,2021,MO_West Alton_2021,MO_West Alton_1,1,1,13,13,May,2_Central,2. Ave lay date,38.859,-90.164,128,3,all 3 periods,0.199,-1.805,0.11,-2.273,-0.929,,-1.405,,-1.805,15.5,20.6,9.4,2.6,0,0,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,3.907,0.044,3.863,0.013,0.35,,,0.115,0.044,,,0.017,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
234,MO,West Alton,MO_Ahmed_USACE,2021,MO_West Alton_2021,MO_West Alton_1,1,1,32,1,June,2_Central,3. Ave hatch date,38.859,-90.164,128,3,all 3 periods,0.775,0.284,0.225,-1.481,0.101,-0.932,-0.1,,-1.509,20.5,24.8,17.4,2.5,0.8,0.27,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,10.803,5.77,5.033,0.096,3.78,0.004,0.348,2.378,0.09,,,0.053,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
235,MO,West Alton,MO_Ahmed_USACE,2021,MO_West Alton_2021,MO_West Alton_1,1,1,46,15,June,2_Central,4. Nestl. Day 12,38.859,-90.164,128,3,all 3 periods,0.21,-0.439,-0.08,-1.504,-1.192,-1.257,-1.737,,-0.827,26.9,33.5,19.4,2.8,0,0,stn,USW00013994,ST LOUIS LAMBERT INTL AP,38.7525,-90.3736,3.58,1.088,2.492,0.091,0.19,0.004,0.163,0.052,0.444,,,0.038,,,,,,,,,,,,,,,,,,Insiyaa Ahmed,"U.S. Army Corps of Engineers, Rivers Project Office"
236,MS,West Point,MS_Rush_MSU,2020,MS_West Point_2020,MS_West Point_1,1,2,-8,23,Apr,2_Central,,33.6601,-88.563225,100,3,,-0.802,,,,-2.149,-1.747,,,-1.949,18,24.1,12.8,3.3,11.7,3.9,stn,USW00093862,TUPELO RGNL AP,34.2622,-88.7714,0.074,,,,0.0183,,0.0507,,0.0307,,,,,,,,,,,,,,,,,,,,,Scott Rush,"Dept of Wildl., Fisheries and Aquaculture, Mississippi State Univ."
237,MS,West Point,MS_Rush_MSU,2020,MS_West Point_2020,MS_West Point_1,1,2,26,26,May,2_Central,3. Ave hatch date,33.6601,-88.563225,100,3,,-0.562,,,-1.688,-1.733,-1.558,,,-1.299,23.2,27,19.5,3.1,60.5,20.17,stn,USW00093862,TUPELO RGNL AP,34.2622,-88.7714,0.177,,,0.0586,0.0525,0.0065,0.0801,,0.1476,,,,,,,,,,,,,,,,,,,,,Scott Rush,"Dept of Wildl., Fisheries and Aquaculture, Mississippi State Univ."
238,MS,West Point,MS_Rush_MSU,2020,MS_West Point_2020,MS_West Point_2,2,2,26,26,May,2_Central,3. Ave hatch date,33.6601,-88.563225,100,3,,-0.416,,,-1.807,-2.864,-0.829,,,-1.376,23.2,27,19.5,3.1,60.5,20.17,stn,USW00093862,TUPELO RGNL AP,34.2622,-88.7714,0.241,,,0.0438,0.0011,,0.4418,,0.1232,,,,,,,,,,,,,,,,,,,,,Scott Rush,"Dept of Wildl., Fisheries and Aquaculture, Mississippi State Univ."
239,MS,West Point,MS_Rush_MSU,2021,MS_West Point_2021,MS_West Point_1,1,1,14,14,May,2_Central,,33.6601,-88.563225,100,3,,-0.46,,,-1.76,-1.419,-0.853,,,-1.923,19.2,27,10.7,2.4,0,0,stn,USW00093862,TUPELO RGNL AP,34.2622,-88.7714,0.1037,,,0.0491,0.1112,0.0118,0.4176,,0.0328,,,0.013,,,,,,,,,,,,,,,,,,Scott Rush,"Dept of Wildl., Fisheries and Aquaculture, Mississippi State Univ."
240,MS,West Point,MS_Rush_MSU,2021,MS_West Point_2021,MS_West Point_1,1,1,28,28,May,2_Central,,33.6601,-88.563225,100,3,,-0.9,,,-2.986,-2.993,-1.98,,,-2.287,20.4,24.2,14.6,3.8,1,0.33,stn,USW00093862,TUPELO RGNL AP,34.2622,-88.7714,0.0366,,,0.0001,0.00005,0.00005,0.0284,,0.0125,,,,,,,,,,,,,,,,,,,,,Scott Rush,"Dept of Wildl., Fisheries and Aquaculture, Mississippi State Univ."
241,MT,Clinton,MT_Cromwell_MissoulaButterfly,2020,MT_Clinton_2020,MT_Clinton_1,1,1,48,17,June,1_West,3. Ave hatch date,46.434,-113.404,1057,3,,-0.709,-2.413,-1.645,-2.232,-1.339,-1.914,-2.391,,,14,21.1,8.7,2.7,0.3,0.1,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.0736,0.0086,0.065,0.0146,0.1345,0.000185,0.0336,0.00919,,0.01276,,,,0.0051,,,,0.00196,0.000786,,,,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
242,MT,Clinton,MT_Cromwell_MissoulaButterfly,2020,MT_Clinton_2020,MT_Clinton_1,1,1,61,30,June,1_West,1. Ave temp >65F,46.434,-113.404,1057,3,,-0.443,-1.939,-1.198,-2.452,-1.484,-1.241,-1.961,,,12.2,19.6,6.5,2.3,16,5.33,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.2185,0.0315,0.187,0.0076,0.0955,0.0144,0.1692,0.0298,,0.1661,,,,,,,0.0013357,0.0777,0.0021,,,,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
243,MT,Clinton,MT_Cromwell_MissoulaButterfly,2020,MT_Clinton_2020,MT_Clinton_1,1,1,68,7,July,1_West,4. Nestl. Day 12,46.434,-113.404,1057,3,,-0.623,-1.948,-1.155,-1.817,-1.905,-2.027,-2.377,,,17,25,8.4,3.1,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.2379,0.0308,0.2071,0.0427,0.0343,0.0008,0.0252,0.0096,,0.0359,,,,,,,0.0017238,0.0114,0.0041,,,0.0014736,,0.0096,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
244,MT,Clinton,MT_Cromwell_MissoulaButterfly,2021,MT_Clinton_2021,MT_Clinton_1,1,1,29,29,May,1_West,2. Ave lay date,46.434,-113.404,1057,3,all 3 periods,-0.637,-1.645,-1.373,-2.875,-1.402,-1.553,-2.632,,,13,24.5,2.6,1.7,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.189,0.065,0.124,0.001,0.116,,0.081,0.004,,,,,0.001,,,,,,,,,,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
245,MT,Clinton,MT_Cromwell_MissoulaButterfly,2021,MT_Clinton_2021,MT_Clinton_1,1,1,48,17,June,1_West,3. Ave hatch date,46.434,-113.404,1057,3,all 3 periods,-0.36,-1.986,-1.538,-1.46,-0.826,-1.363,-2.115,,,18.2,28.5,7.6,2,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.112,0.028,0.084,0.101,0.445,,0.127,0.02,,0.131,,,0.042,,,,,0.004,0.019,,,0.01,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
246,MT,Clinton,MT_Cromwell_MissoulaButterfly,2021,MT_Clinton_2021,MT_Clinton_1,1,1,68,7,July,1_West,4. Nestl. Day 12,46.434,-113.404,1057,3,all 3 periods,-0.083,-2.273,-1.234,-1.745,-0.586,-0.886,-1.477,,,23.3,32.8,12.2,2.9,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.185,0.013,0.172,0.051,0.775,0.001,0.387,0.097,,0.126,,,0.394,0.106,,,,0.049,,,,0.007,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
247,MT,Florence,MT_Cromwell_MissoulaButterfly,2021,MT_Florence_2021,MT_Florence_2,1,1,29,29,May,1_West,2. Ave lay date,46.692,-114.044,975,3,all 3 periods,-0.274,-2.176,-0.75,-1.538,-1.319,-0.776,-2.398,,,13,24.5,2.6,1.7,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.548,0.017,0.531,0.084,0.141,,0.5,0.009,,,,,,,,,,,,,,,,0.013,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
248,MT,Florence,MT_Cromwell_MissoulaButterfly,2021,MT_Florence_2021,MT_Florence_2,1,1,48,17,June,1_West,3. Ave hatch date,46.692,-114.044,975,3,all 3 periods,-0.225,-2.046,-1.172,-1.452,-1.292,-1.095,-1.886,,,18.2,28.5,7.6,2,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.223,0.024,0.199,0.103,0.15,0.078,0.238,0.036,,,,,,0.611,,,,0.031,,,,0.007,,0.009,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
249,MT,Florence,MT_Cromwell_MissoulaButterfly,2021,MT_Florence_2021,MT_Florence_2,1,1,68,7,July,1_West,4. Nestl. Day 12,46.692,-114.044,975,3,all 3 periods,-0.043,-1.986,-0.983,-2,-1.115,-0.586,-1.834,,,23.3,32.8,12.2,2.9,0,0,stn,USW00024153,MISSOULA INTL AP,46.9208,-114.0925,0.337,0.028,0.309,0.027,0.227,0.14,0.775,0.041,,0.576,,,0.095,0.194,,,,0,,,,0.004,,,,,,,,"Kara Cromwell, Jen Marangelo, Brenna Shea",Missoula Butterfly House & Insectarium
250,NB,Aulac,NB_Imlay_Dalhousie,2019,NB_Aulac_2019,NB_Aulac_BE,1,1,21,21,May,3_NE,1. last frost date,45.861,-64.275,9,3,,-0.842,-2.301,-2.331,-1.638,,-1.844,,,,9.9,14.6,5.2,4.2,20.5,6.83,stn,USC00178792,TOPSFIELD 2,45.4353,-67.7214,0.023,0.012,0.011,0.066,,0.005,0.04,,,,,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
251,NB,Aulac,NB_Imlay_Dalhousie,2019,NB_Aulac_2019,NB_Aulac_BE,1,1,29,29,May,3_NE,2. Ave lay date,45.861,-64.275,9,3,all 3 periods,-0.366,-1.626,-1.632,-0.834,-2.699,-2.097,-2.331,-0.882,,11.9,18,5.7,0.9,1.3,0.43,stn,USC00178792,TOPSFIELD 2,45.4353,-67.7214,0.135,0.068,0.067,0.437,0.003,0.016,0.021,0.011,,,0.391,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
252,NB,Aulac,NB_Imlay_Dalhousie,2019,NB_Aulac_2019,NB_Aulac_BE,1,1,48,17,June,3_NE,3. Ave hatch date,45.861,-64.275,9,3,all 3 periods,-0.259,-0.886,-1.093,-0.961,-0.961,-2.046,-2.699,-2.222,,17.9,24.4,11.3,1.2,0,0,stn,USC00178792,TOPSFIELD 2,45.4353,-67.7214,0.626,0.387,0.239,0.325,0.325,0.155,0.024,0.003,,,0.015,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
253,NB,Aulac,NB_Imlay_Dalhousie,2019,NB_Aulac_2019,NB_Aulac_BE,1,1,61,30,June,3_NE,4. Nestl. Day 12,45.861,-64.275,9,3,all 3 periods,-0.358,-1.533,-0.844,-1.481,-1.125,-1.464,-1.778,-2.398,,16.9,21.5,12.4,1.2,27.3,9.1,stn,USC00178792,TOPSFIELD 2,45.4353,-67.7214,0.512,0.085,0.427,0.096,0.222,0.055,0.1,0.047,,,0.009,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
254,NB,Shemogue,NB_Imlay_Dalhousie,2019,NB_Shemogue_2019,NB_Shemogue_WE,1,1,29,29,May,3_NE,2. Ave lay date,46.122,-64.241,46,3,all 3 periods,-0.402,-1.645,-0.607,-1.678,,,-2.875,-2.135,,10.7,17.2,4.1,3,0.5,0.17,stn,USW00014609,HOULTON INTL AP,46.1236,-67.7928,0.803,0.065,0.738,0.06,,0.006,,0.001,,,0.019,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
255,NB,Shemogue,NB_Imlay_Dalhousie,2019,NB_Shemogue_2019,NB_Shemogue_WE,1,1,48,17,June,3_NE,3. Ave hatch date,46.122,-64.241,46,3,all 3 periods,0.058,-0.874,-0.312,-0.977,-0.621,-1.276,-2.436,-1.632,,15.9,24.1,7.8,2.2,2.5,0.83,stn,USW00014609,HOULTON INTL AP,46.1236,-67.7928,1.856,0.398,1.458,0.313,0.715,0.015,0.156,0.008,,,0.067,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
256,NB,Shemogue,NB_Imlay_Dalhousie,2019,NB_Shemogue_2019,NB_Shemogue_WE,1,1,61,30,June,3_NE,4. Nestl. Day 12,46.122,-64.241,46,3,all 3 periods,-0.421,-2.135,-0.767,-1.651,-1.796,-1.448,-1.504,,,17.3,24.1,10.6,3.2,34.3,11.43,stn,USW00014609,HOULTON INTL AP,46.1236,-67.7928,0.529,0.019,0.51,0.064,0.045,0.004,0.104,0.091,,,,,,,,,,,,,,,,,,,,,,"Tara L. Imlay, Marty Leonard","Dept. of Biology, Dalhousie Univ., and Pacific Wildl. Res. Centre, Canadian Wildl. Serv."
257,NC,Asheville,NC_Laughlin_UNCA,2019,NC_Asheville_2019,NC_Asheville_1,1,1,1,1,May,4_SE,1. last frost date,35.635,-82.57,644,3,,-0.079,-0.376,-0.812,-1.074,-1.909,-1.36,-1.658,-2.632,,21.6,26.9,16.3,3.9,2.8,0.93,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,1.718,1.258,0.46,0.25,0.034,0.005,0.128,0.063,,,0.004,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
258,NC,Asheville,NC_Laughlin_UNCA,2019,NC_Asheville_2019,NC_Asheville_1,1,1,23,23,May,4_SE,3. Ave hatch date,35.635,-82.57,644,3,,0.217,-1.106,-0.522,-0.503,-0.364,-1.076,-0.872,-0.708,,24.3,31,17.6,1.8,0.3,0.1,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,1.131,0.232,0.899,0.939,1.295,0.047,0.249,0.4,,0.416,0.584,,,,0.168,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
259,NC,Asheville,NC_Laughlin_UNCA,2019,NC_Asheville_2019,NC_Asheville_1,1,1,34,3,June,4_SE,4. Nestl. Day 12,35.635,-82.57,644,3,,-0.279,-1.824,-1.021,-1.086,-1.176,-1.067,-1.292,,,20.7,25.2,16.1,2.2,4.1,1.37,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,0.325,0.042,0.283,0.243,0.197,0.109,0.254,0.15,,,,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
260,NC,Asheville,NC_Laughlin_UNCA,2020,NC_Asheville_2020,NC_Asheville_2,1,1,2,2,May,4_SE,,35.635,-82.561,650,3,,-0.084,-1.946,-1.239,-1.292,-0.366,-0.79,,-2.436,,19.2,27.4,11,2.4,0,0,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,0.201,0.031,0.17,0.15,1.289,0.04,0.484,,,,0.008,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
261,NC,Asheville,NC_Laughlin_UNCA,2020,NC_Asheville_2020,NC_Asheville_2,1,1,5,5,May,4_SE,,35.635,-82.561,650,3,,-0.277,-1.44,-1.745,-2.477,-0.976,-0.581,,-2.097,,13.2,19.1,7.4,3.4,5.8,1.93,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,0.157,0.106,0.051,0.007,0.314,0.001,0.784,,,,0.021,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
262,NC,Asheville,NC_Laughlin_UNCA,2020,NC_Asheville_2020,NC_Asheville_2,1,1,8,8,May,4_SE,2. Ave lay date,35.635,-82.561,650,3,all 3 periods,-0.478,-1.608,-1.875,-2.602,-1.272,-0.852,-2.548,-2.875,,8.7,15.4,2,3.1,1.8,0.6,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,0.108,0.071,0.037,0.0045,0.1575,0.001,0.4185,0.0055,,0.003,0.001,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
263,NC,Asheville,NC_Laughlin_UNCA,2020,NC_Asheville_2020,NC_Asheville_2,1,1,11,11,May,4_SE,,35.635,-82.561,650,3,,-0.885,-1.909,-2,-2.699,,-2.046,,-2.778,,10.4,15.7,5,2.5,0.3,0.1,stn,USW00013872,ASHEVILLE,35.5953,-82.5567,0.061,0.034,0.027,0.003,,0.001,0.024,,,,0.002,,,,,,,,,,,,,,,,,,,"Andrew Laughlin, A. Rose Ruegg","Dept. of Environ. Studies, UNC Asheville"
